,Prix,Marque,Modèle,Carburant,Kilométrage,Boitedevitesse,Puissancefiscale,Année
17934,14990,Dacia,Duster,Diesel,55374,Manuelle,6.0,2017.0
17935,10990,Peugeot,208,Essence,55380,Manuelle,4.0,2017.0
17936,8490,Citroen,C3,Essence,55384,Manuelle,4.0,2015.0
17937,14480,Citroen,C4,Diesel,55384,Manuelle,5.0,2018.0
17938,18990,Nissan,Qashqai,Diesel,55388,Manuelle,7.0,2018.0
17939,15990,Peugeot,2008,Essence,55389,Automatique,6.0,2017.0
17940,8900,Renault,Clio,Essence,55400,Manuelle,5.0,2015.0
17941,11900,Peugeot,2008,Diesel,55400,Manuelle,5.0,2016.0
17942,12490,Fiat,500,Essence,55400,Manuelle,5.0,2016.0
17943,18490,Renault,Kadjar,Diesel,55400,Manuelle,7.0,2017.0
17944,14200,Renault,Captur,Diesel,55400,Automatique,4.0,2018.0
17945,13900,Renault,Clio,Diesel,55400,Manuelle,4.0,2018.0
17946,16490,Dacia,Duster,Diesel,55400,Manuelle,5.0,2019.0
17947,18490,Peugeot,308,Diesel,55400,Manuelle,5.0,2020.0
17948,24490,Citroen,C5,Essence,55401,Manuelle,7.0,2019.0
17949,16990,Peugeot,2008,Diesel,55404,Manuelle,5.0,2019.0
17950,12490,Renault,Captur,Essence,55409,Manuelle,5.0,2017.0
17951,39999,Mercedes,Classe A,Essence,55410,Automatique,26.0,2016.0
17952,15490,Peugeot,2008,Essence,55414,Manuelle,5.0,2018.0
17953,12590,Renault,Clio,Diesel,55438,Manuelle,5.0,2019.0
17954,28990,Peugeot,508,Diesel,55440,Automatique,7.0,2020.0
17955,14689,Citroen,C3,Diesel,55442,Manuelle,5.0,2019.0
17956,19690,Peugeot,308,Essence,55446,Automatique,7.0,2017.0
17957,13990,Peugeot,2008,Essence,55450,Manuelle,5.0,2016.0
17958,22790,Nissan,Qashqai,Essence,55450,Automatique,8.0,2019.0
17959,19990,Peugeot,208,Diesel,55450,Manuelle,5.0,2020.0
17960,8500,Mercedes,Classe C,Essence,55452,Automatique,9.0,2003.0
17961,13980,Dacia,Duster,Diesel,55455,Manuelle,6.0,2017.0
17962,10290,Fiat,500,Essence,55456,Manuelle,4.0,2016.0
17963,23890,Peugeot,3008,Diesel,55458,Automatique,6.0,2019.0
17964,23490,Volkswagen,Golf,Essence,55471,Automatique,8.0,2018.0
17965,12990,Ford,Fiesta,Essence,55481,Manuelle,4.0,2018.0
17966,13990,Mercedes,Classe C,Essence,55484,Automatique,13.0,2010.0
17967,28990,Audi,A3,Diesel,55487,Automatique,8.0,2019.0
17968,16000,Peugeot,208,Essence,55487,Manuelle,5.0,2020.0
17969,10490,Peugeot,208,Essence,55490,Manuelle,4.0,2018.0
17970,8500,Ford,Fiesta,Essence,55495,Manuelle,5.0,2017.0
17971,18590,Dacia,Duster,Diesel,55497,Manuelle,6.0,2020.0
17972,24990,Renault,Megane,Essence,55500,Manuelle,13.0,2014.0
17973,36500,Mercedes,Classe A,Essence,55500,Automatique,24.0,2015.0
17974,10800,Peugeot,208,Essence,55500,Manuelle,5.0,2015.0
17975,7500,Renault,Twingo,Essence,55500,Manuelle,4.0,2015.0
17976,11490,Renault,Captur,Diesel,55500,Manuelle,4.0,2016.0
17977,19990,Mercedes,Classe A,Diesel,55500,Automatique,7.0,2016.0
17978,28490,Bmw,Serie 3,Essence,55500,Automatique,10.0,2018.0
17979,15500,Nissan,Qashqai,Essence,55500,Manuelle,6.0,2018.0
